iter	Passed	Remaining
0	50	10014
1	100	9984
2	147	9718
3	195	9585
4	239	9359
5	286	9279
6	336	9274
7	382	9188
8	431	9165
9	493	9372
10	539	9275
11	587	9204
12	637	9168
13	686	9121
14	733	9042
15	781	8992
16	829	8926
17	878	8883
18	925	8812
19	972	8749
20	1017	8675
21	1066	8626
22	1118	8609
23	1183	8677
24	1265	8855
25	1343	8989
26	1430	9163
27	1499	9210
28	1548	9132
29	1599	9063
30	1665	9078
31	1711	8986
32	1758	8899
33	1805	8815
34	1854	8743
35	1903	8673
36	1953	8605
37	2033	8671
38	2088	8622
39	2150	8601
40	2200	8531
41	2248	8458
42	2298	8391
43	2345	8314
44	2393	8245
45	2442	8177
46	2506	8158
47	2555	8093
48	2603	8022
49	2651	7955
50	2700	7890
51	2761	7858
52	2822	7827
53	2868	7755
54	2915	7685
55	2963	7620
56	3010	7553
57	3061	7496
58	3108	7428
59	3154	7360
60	3203	7299
61	3253	7240
62	3298	7173
63	3349	7117
64	3398	7058
65	3461	7027
66	3508	6965
67	3599	6988
68	3653	6936
69	3716	6901
70	3764	6840
71	3826	6803
72	3877	6745
73	3925	6683
74	3976	6627
75	4036	6585
76	4085	6526
77	4136	6469
78	4182	6406
79	4229	6343
80	4276	6282
81	4326	6226
82	4385	6181
83	4430	6118
84	4480	6062
85	4528	6002
86	4575	5943
87	4638	5904
88	4683	5841
89	4708	5754
90	4756	5696
91	4806	5642
92	4853	5584
93	4901	5526
94	4948	5469
95	5000	5417
96	5063	5376
97	5124	5334
98	5172	5276
99	5221	5221
100	5271	5167
101	5315	5107
102	5361	5049
103	5407	4991
104	5456	4936
105	5507	4883
106	5553	4827
107	5603	4773
108	5654	4720
109	5700	4663
110	5746	4607
111	5796	4554
112	5842	4498
113	5891	4444
114	5938	4389
115	5964	4318
116	6009	4263
117	6056	4208
118	6105	4155
119	6151	4101
120	6196	4045
121	6259	4002
122	6308	3949
123	6358	3897
124	6406	3843
125	6455	3791
126	6506	3739
127	6554	3686
128	6604	3635
129	6654	3583
130	6702	3530
131	6750	3477
132	6800	3425
133	6849	3373
134	6898	3321
135	6946	3268
136	6994	3216
137	7041	3163
138	7091	3112
139	7138	3059
140	7187	3007
141	7234	2954
142	7284	2903
143	7347	2857
144	7410	2810
145	7456	2758
146	7514	2709
147	7563	2657
148	7613	2605
149	7667	2555
150	7731	2508
151	7779	2456
152	7830	2405
153	7879	2353
154	7926	2301
155	7974	2249
156	8038	2201
157	8085	2149
158	8134	2097
159	8183	2045
160	8233	1994
161	8281	1942
162	8327	1890
163	8374	1838
164	8422	1786
165	8475	1735
166	8525	1684
167	8571	1632
168	8622	1581
169	8670	1530
170	8720	1478
171	8765	1426
172	8811	1375
173	8859	1323
174	8908	1272
175	8954	1221
176	9003	1169
177	9055	1119
178	9100	1067
179	9149	1016
180	9197	965
181	9245	914
182	9295	863
183	9346	812
184	9395	761
185	9456	711
186	9504	660
187	9551	609
188	9604	559
189	9653	508
190	9699	457
191	9747	406
192	9796	355
193	9848	304
194	9895	253
195	9944	202
196	9993	152
197	10043	101
198	10089	50
199	10137	0
